state,year,deaths,cruderate,ageadjustedrate,sttax,hispanic,nhblack,nhwhite,nhother,lhs,hs,somecol,colplus
Kentucky,2008,10,1.2,1.1,30,0.0251346,0.0771993,0.8725314,0.0251346,0.1256732,0.3608617,0.2423698,0.2710952
Kentucky,2010,15,1.8,1.7,60,0.0378486,0.0717131,0.8466135,0.0438247,0.1394422,0.3466136,0.2450199,0.2689243
Kentucky,2011,10,1.2,1.2,60,0.0400802,0.0801603,0.8436874,0.0360721,0.1382765,0.3386773,0.2605211,0.2625251
Kentucky,2013,17,2,1.9,60,0.0360934,0.0573248,0.8747346,0.0318471,0.0849257,0.3503185,0.2717622,0.2929936
Kentucky,2015,14,1.6,1.7,60,0.0294785,0.047619,0.8752834,0.047619,0.1043084,0.2970521,0.2789116,0.3197279
Kentucky,2016,22,2.6,2.6,60,0.0402415,0.0663984,0.8631791,0.0301811,0.1307847,0.3158954,0.2454728,0.3078471
Louisiana,2003,12,1.2,1.2,36,0.0259259,0.2851852,0.6222222,0.0666667,0.1703704,0.3703704,0.2407407,0.2185185
Louisiana,2004,21,2.1,2.1,36,0.0506329,0.3481013,0.5822785,0.0189873,0.1993671,0.3544304,0.2594937,0.1867089
Louisiana,2005,14,1.4,1.4,36,0.0333333,0.315,0.6166667,0.035,0.16,0.3983333,0.1933333,0.2483333
Louisiana,2007,11,1.2,1.2,36,0.0379061,0.2888087,0.6462094,0.0270758,0.1281588,0.3610108,0.2797834,0.2310469
Louisiana,2012,22,2.3,2.4,36,0.0454545,0.3478261,0.5731225,0.0335968,0.1541502,0.3320158,0.2470356,0.2667984
Louisiana,2013,31,3.3,3.4,36,0.0694184,0.2926829,0.5891182,0.0487805,0.15197,0.3245779,0.2664165,0.2570356
Louisiana,2014,30,3.2,3.3,36,0.0634249,0.3424947,0.5560254,0.038055,0.1162791,0.359408,0.2283298,0.2959831
Louisiana,2015,31,3.3,3.4,36,0.0581818,0.2963636,0.6090909,0.0363636,0.1145455,0.3272727,0.2854545,0.2727273
Louisiana,2016,41,4.4,4.3,86,0.0632653,0.2918367,0.5816327,0.0632653,0.1346939,0.3428572,0.2285714,0.2938775
Maryland,2003,20,1.7,1.6,100,0.0772059,0.2169118,0.6286765,0.0772059,0.0992647,0.2830882,0.2095588,0.4080882
Maryland,2004,16,1.3,1.3,100,0.1006944,0.2048611,0.6006944,0.09375,0.1284722,0.3368056,0.2083333,0.3263889
Maryland,2005,19,1.6,1.6,100,0.0936281,0.2704811,0.556567,0.0793238,0.0871261,0.3003901,0.1885566,0.4239272
Maryland,2006,18,1.5,1.5,100,0.0935162,0.2518703,0.5561097,0.0985037,0.0910224,0.2705736,0.1758105,0.4625935
Maryland,2007,20,1.7,1.7,100,0.1,0.2608108,0.5635135,0.0756757,0.1148649,0.2418919,0.2121622,0.4310811
Maryland,2008,17,1.4,1.4,100,0.1049869,0.2729659,0.5104987,0.1115486,0.0879265,0.2637795,0.1902887,0.4580052
Maryland,2009,18,1.5,1.5,200,0.1215324,0.2575958,0.5284016,0.0924703,0.1056803,0.2523118,0.2021136,0.4398943
Maryland,2010,24,2,2,200,0.1136691,0.2517986,0.5194244,0.1151079,0.0935252,0.2604316,0.2302158,0.4158273
Maryland,2011,24,2,1.9,200,0.1060172,0.277937,0.5071633,0.1088825,0.1146132,0.2578796,0.2091691,0.4183381
Maryland,2012,19,1.6,1.6,200,0.1078717,0.2769679,0.4985423,0.1166181,0.1020408,0.2813411,0.196793,0.4198251
Maryland,2013,15,1.3,1.3,200,0.1248025,0.2638231,0.5102686,0.1011058,0.0932069,0.2527646,0.1816746,0.4723539
Maryland,2014,22,1.8,1.8,200,0.1175572,0.2396947,0.5435115,0.0992366,0.0748092,0.2396947,0.2045802,0.480916
Maryland,2015,16,1.3,1.3,200,0.1148748,0.2842415,0.5081002,0.0927835,0.0810015,0.2488954,0.2135493,0.4565538
Maryland,2016,13,1.1,1,200,0.1007752,0.2651163,0.5286822,0.1054264,0.0604651,0.248062,0.1875969,0.503876
Massachusetts,2016,15,1.1,1.1,351,0.1572238,0.0892351,0.6359773,0.1175637,0.0623229,0.233711,0.1883853,0.5155807
